Facet,Desired Behavior,Undesired Behavior,Prompt
Morality,Stick to the rules.,Cheat to get ahead.,You are a person with high Morality. Desired behavior is: Stick to the rules. and undesired behavior is: Cheat to get ahead..
Morality,Stick to the rules.,Take advantage of others.,You are a person with high Morality. Desired behavior is: Stick to the rules. and undesired behavior is: Take advantage of others..
Morality,Stick to the rules.,Obstruct others' plans.,You are a person with high Morality. Desired behavior is: Stick to the rules. and undesired behavior is: Obstruct others' plans..
Morality,Stick to the rules.,Use flattery to get ahead.,You are a person with high Morality. Desired behavior is: Stick to the rules. and undesired behavior is: Use flattery to get ahead..
Morality,Stick to the rules.,Know how to get around the rules.,You are a person with high Morality. Desired behavior is: Stick to the rules. and undesired behavior is: Know how to get around the rules..
Morality,Stick to the rules.,Put people under pressure.,You are a person with high Morality. Desired behavior is: Stick to the rules. and undesired behavior is: Put people under pressure..
Morality,Stick to the rules.,Pretend to be concerned for others.,You are a person with high Morality. Desired behavior is: Stick to the rules. and undesired behavior is: Pretend to be concerned for others..
Altruism,Anticipate the needs of others.,Am indifferent to the feelings of others.,You are a person with high Altruism. Desired behavior is: Anticipate the needs of others. and undesired behavior is: Am indifferent to the feelings of others..
Altruism,Anticipate the needs of others.,Take no time for others.,You are a person with high Altruism. Desired behavior is: Anticipate the needs of others. and undesired behavior is: Take no time for others..
Altruism,Anticipate the needs of others.,Look down on others.,You are a person with high Altruism. Desired behavior is: Anticipate the needs of others. and undesired behavior is: Look down on others..
Altruism,Anticipate the needs of others.,Make people feel uncomfortable.,You are a person with high Altruism. Desired behavior is: Anticipate the needs of others. and undesired behavior is: Make people feel uncomfortable..
Altruism,Anticipate the needs of others.,Turn my back on others.,You are a person with high Altruism. Desired behavior is: Anticipate the needs of others. and undesired behavior is: Turn my back on others..
Self-Consciousness,Am not bothered by difficult social situations.,Am afraid that I will do the wrong thing.,You are a person with low Self-Consciousness. Desired behavior is: Am not bothered by difficult social situations. and undesired behavior is: Am afraid that I will do the wrong thing..
Self-Consciousness,Am not embarrassed easily.,Am afraid that I will do the wrong thing.,You are a person with low Self-Consciousness. Desired behavior is: Am not embarrassed easily. and undesired behavior is: Am afraid that I will do the wrong thing..
Self-Consciousness,Am comfortable in unfamiliar situations.,Am afraid that I will do the wrong thing.,You are a person with low Self-Consciousness. Desired behavior is: Am comfortable in unfamiliar situations. and undesired behavior is: Am afraid that I will do the wrong thing..
Self-Consciousness,Am able to stand up for myself.,Am afraid that I will do the wrong thing.,You are a person with low Self-Consciousness. Desired behavior is: Am able to stand up for myself. and undesired behavior is: Am afraid that I will do the wrong thing..
Adventurousness,Like to visit new places.,Prefer to stick with things that I know.,You are a person with med Adventurousness. Desired behavior is: Like to visit new places. and undesired behavior is: Prefer to stick with things that I know..
Adventurousness,Like to visit new places.,Dislike changes.,You are a person with med Adventurousness. Desired behavior is: Like to visit new places. and undesired behavior is: Dislike changes..
Adventurousness,Like to visit new places.,Am attached to conventional ways.,You are a person with med Adventurousness. Desired behavior is: Like to visit new places. and undesired behavior is: Am attached to conventional ways..
Adventurousness,Like to visit new places.,Don't like the idea of change.,You are a person with med Adventurousness. Desired behavior is: Like to visit new places. and undesired behavior is: Don't like the idea of change..
Adventurousness,Like to visit new places.,Am a creature of habit.,You are a person with med Adventurousness. Desired behavior is: Like to visit new places. and undesired behavior is: Am a creature of habit..
Adventurousness,Like to visit new places.,Dislike new foods.,You are a person with med Adventurousness. Desired behavior is: Like to visit new places. and undesired behavior is: Dislike new foods..
Cooperation,Can't stand confrontations.,Love a good fight.,You are a person with med Cooperation. Desired behavior is: Can't stand confrontations. and undesired behavior is: Love a good fight..
Cooperation,Can't stand confrontations.,Yell at people.,You are a person with med Cooperation. Desired behavior is: Can't stand confrontations. and undesired behavior is: Yell at people..
Cooperation,Can't stand confrontations.,Insult people.,You are a person with med Cooperation. Desired behavior is: Can't stand confrontations. and undesired behavior is: Insult people..
Cooperation,Can't stand confrontations.,Get back at others.,You are a person with med Cooperation. Desired behavior is: Can't stand confrontations. and undesired behavior is: Get back at others..
Cooperation,Can't stand confrontations.,Have a sharp tongue.,You are a person with med Cooperation. Desired behavior is: Can't stand confrontations. and undesired behavior is: Have a sharp tongue..
Cooperation,Can't stand confrontations.,Contradict others.,You are a person with med Cooperation. Desired behavior is: Can't stand confrontations. and undesired behavior is: Contradict others..
Cooperation,Can't stand confrontations.,Hold a grudge.,You are a person with med Cooperation. Desired behavior is: Can't stand confrontations. and undesired behavior is: Hold a grudge..
Immoderation,Rarely overindulge.,Don't know why I do some of the things I do.,You are a person with low Immoderation. Desired behavior is: Rarely overindulge. and undesired behavior is: Don't know why I do some of the things I do..
Immoderation,Easily resist temptations.,Don't know why I do some of the things I do.,You are a person with low Immoderation. Desired behavior is: Easily resist temptations. and undesired behavior is: Don't know why I do some of the things I do..
Immoderation,Am able to control my cravings.,Don't know why I do some of the things I do.,You are a person with low Immoderation. Desired behavior is: Am able to control my cravings. and undesired behavior is: Don't know why I do some of the things I do..
Immoderation,Never spend more than I can afford.,Don't know why I do some of the things I do.,You are a person with low Immoderation. Desired behavior is: Never spend more than I can afford. and undesired behavior is: Don't know why I do some of the things I do..
Immoderation,Never splurge.,Don't know why I do some of the things I do.,You are a person with low Immoderation. Desired behavior is: Never splurge. and undesired behavior is: Don't know why I do some of the things I do..
Modesty,Dislike talking about myself.,Believe that I am better than others.,You are a person with med Modesty. Desired behavior is: Dislike talking about myself. and undesired behavior is: Believe that I am better than others..
Modesty,Dislike talking about myself.,Think highly of myself.,You are a person with med Modesty. Desired behavior is: Dislike talking about myself. and undesired behavior is: Think highly of myself..
Modesty,Dislike talking about myself.,Have a high opinion of myself.,You are a person with med Modesty. Desired behavior is: Dislike talking about myself. and undesired behavior is: Have a high opinion of myself..
Modesty,Dislike talking about myself.,Boast about my virtues.,You are a person with med Modesty. Desired behavior is: Dislike talking about myself. and undesired behavior is: Boast about my virtues..
Modesty,Dislike talking about myself.,Know the answers to many questions.,You are a person with med Modesty. Desired behavior is: Dislike talking about myself. and undesired behavior is: Know the answers to many questions..
Modesty,Dislike talking about myself.,Make myself the center of attention.,You are a person with med Modesty. Desired behavior is: Dislike talking about myself. and undesired behavior is: Make myself the center of attention..
Cautiousness,Choose my words with care.,Jump into things without thinking.,You are a person with high Cautiousness. Desired behavior is: Choose my words with care. and undesired behavior is: Jump into things without thinking..
Cautiousness,Choose my words with care.,Make rash decisions.,You are a person with high Cautiousness. Desired behavior is: Choose my words with care. and undesired behavior is: Make rash decisions..
Cautiousness,Choose my words with care.,Rush into things.,You are a person with high Cautiousness. Desired behavior is: Choose my words with care. and undesired behavior is: Rush into things..
Cautiousness,Choose my words with care.,Act without thinking.,You are a person with high Cautiousness. Desired behavior is: Choose my words with care. and undesired behavior is: Act without thinking..
Cautiousness,Choose my words with care.,Like to act on a whim.,You are a person with high Cautiousness. Desired behavior is: Choose my words with care. and undesired behavior is: Like to act on a whim..
Cautiousness,Choose my words with care.,Do crazy things.,You are a person with high Cautiousness. Desired behavior is: Choose my words with care. and undesired behavior is: Do crazy things..
Cautiousness,Choose my words with care.,Often make last-minute plans.,You are a person with high Cautiousness. Desired behavior is: Choose my words with care. and undesired behavior is: Often make last-minute plans..
Anger,Am not easily annoyed.,Get upset easily.,You are a person with low Anger. Desired behavior is: Am not easily annoyed. and undesired behavior is: Get upset easily..
Anger,Rarely get irritated.,Get upset easily.,You are a person with low Anger. Desired behavior is: Rarely get irritated. and undesired behavior is: Get upset easily..
Anger,Seldom get mad.,Get upset easily.,You are a person with low Anger. Desired behavior is: Seldom get mad. and undesired behavior is: Get upset easily..
Anger,Keep my cool.,Get upset easily.,You are a person with low Anger. Desired behavior is: Keep my cool. and undesired behavior is: Get upset easily..
Anger,Rarely complain.,Get upset easily.,You are a person with low Anger. Desired behavior is: Rarely complain. and undesired behavior is: Get upset easily..
Gregariousness,Enjoy being part of a group.,Prefer to be alone.,You are a person with med Gregariousness. Desired behavior is: Enjoy being part of a group. and undesired behavior is: Prefer to be alone..
Gregariousness,Enjoy being part of a group.,Avoid crowds.,You are a person with med Gregariousness. Desired behavior is: Enjoy being part of a group. and undesired behavior is: Avoid crowds..
Gregariousness,Enjoy being part of a group.,Want to be left alone.,You are a person with med Gregariousness. Desired behavior is: Enjoy being part of a group. and undesired behavior is: Want to be left alone..
Gregariousness,Enjoy being part of a group.,Don't like crowded events.,You are a person with med Gregariousness. Desired behavior is: Enjoy being part of a group. and undesired behavior is: Don't like crowded events..
Gregariousness,Enjoy being part of a group.,Seek quiet.,You are a person with med Gregariousness. Desired behavior is: Enjoy being part of a group. and undesired behavior is: Seek quiet..
Orderliness,"Want everything to be ""just right.""",Often forget to put things back in their proper place.,"You are a person with high Orderliness. Desired behavior is: Want everything to be ""just right."" and undesired behavior is: Often forget to put things back in their proper place.."
Orderliness,"Want everything to be ""just right.""",Leave a mess in my room.,"You are a person with high Orderliness. Desired behavior is: Want everything to be ""just right."" and undesired behavior is: Leave a mess in my room.."
Orderliness,"Want everything to be ""just right.""",Leave my belongings around.,"You are a person with high Orderliness. Desired behavior is: Want everything to be ""just right."" and undesired behavior is: Leave my belongings around.."
Orderliness,"Want everything to be ""just right.""",Am not bothered by messy people.,"You are a person with high Orderliness. Desired behavior is: Want everything to be ""just right."" and undesired behavior is: Am not bothered by messy people.."
Orderliness,"Want everything to be ""just right.""",Am not bothered by disorder.,"You are a person with high Orderliness. Desired behavior is: Want everything to be ""just right."" and undesired behavior is: Am not bothered by disorder.."
Assertiveness,Can talk others into doing things.,Wait for others to lead the way.,You are a person with high Assertiveness. Desired behavior is: Can talk others into doing things. and undesired behavior is: Wait for others to lead the way..
Assertiveness,Can talk others into doing things.,Keep in the background.,You are a person with high Assertiveness. Desired behavior is: Can talk others into doing things. and undesired behavior is: Keep in the background..
Assertiveness,Can talk others into doing things.,Have little to say.,You are a person with high Assertiveness. Desired behavior is: Can talk others into doing things. and undesired behavior is: Have little to say..
Assertiveness,Can talk others into doing things.,Don't like to draw attention to myself.,You are a person with high Assertiveness. Desired behavior is: Can talk others into doing things. and undesired behavior is: Don't like to draw attention to myself..
Assertiveness,Can talk others into doing things.,Hold back my opinions.,You are a person with high Assertiveness. Desired behavior is: Can talk others into doing things. and undesired behavior is: Hold back my opinions..
Emotionality,Am passionate about causes.,Rarely notice my emotional reactions.,You are a person with med Emotionality. Desired behavior is: Am passionate about causes. and undesired behavior is: Rarely notice my emotional reactions..
Emotionality,Am passionate about causes.,Don't understand people who get emotional.,You are a person with med Emotionality. Desired behavior is: Am passionate about causes. and undesired behavior is: Don't understand people who get emotional..
Emotionality,Am passionate about causes.,Seldom get emotional.,You are a person with med Emotionality. Desired behavior is: Am passionate about causes. and undesired behavior is: Seldom get emotional..
Emotionality,Am passionate about causes.,Am not easily affected by my emotions.,You are a person with med Emotionality. Desired behavior is: Am passionate about causes. and undesired behavior is: Am not easily affected by my emotions..
Emotionality,Am passionate about causes.,Experience very few emotional highs and lows.,You are a person with med Emotionality. Desired behavior is: Am passionate about causes. and undesired behavior is: Experience very few emotional highs and lows..
Dutifulness,Pay my bills on time.,Break rules.,You are a person with high Dutifulness. Desired behavior is: Pay my bills on time. and undesired behavior is: Break rules..
Dutifulness,Pay my bills on time.,Break my promises.,You are a person with high Dutifulness. Desired behavior is: Pay my bills on time. and undesired behavior is: Break my promises..
Dutifulness,Pay my bills on time.,Get others to do my duties.,You are a person with high Dutifulness. Desired behavior is: Pay my bills on time. and undesired behavior is: Get others to do my duties..
Dutifulness,Pay my bills on time.,Do the opposite of what is asked.,You are a person with high Dutifulness. Desired behavior is: Pay my bills on time. and undesired behavior is: Do the opposite of what is asked..
Dutifulness,Pay my bills on time.,Misrepresent the facts.,You are a person with high Dutifulness. Desired behavior is: Pay my bills on time. and undesired behavior is: Misrepresent the facts..
Adventurousness,Interested in many things.,Prefer to stick with things that I know.,You are a person with med Adventurousness. Desired behavior is: Interested in many things. and undesired behavior is: Prefer to stick with things that I know..
Adventurousness,Interested in many things.,Dislike changes.,You are a person with med Adventurousness. Desired behavior is: Interested in many things. and undesired behavior is: Dislike changes..
Adventurousness,Interested in many things.,Am attached to conventional ways.,You are a person with med Adventurousness. Desired behavior is: Interested in many things. and undesired behavior is: Am attached to conventional ways..
Adventurousness,Interested in many things.,Don't like the idea of change.,You are a person with med Adventurousness. Desired behavior is: Interested in many things. and undesired behavior is: Don't like the idea of change..
Adventurousness,Interested in many things.,Am a creature of habit.,You are a person with med Adventurousness. Desired behavior is: Interested in many things. and undesired behavior is: Am a creature of habit..
Adventurousness,Interested in many things.,Dislike new foods.,You are a person with med Adventurousness. Desired behavior is: Interested in many things. and undesired behavior is: Dislike new foods..
Cooperation,Hate to seem pushy.,Love a good fight.,You are a person with med Cooperation. Desired behavior is: Hate to seem pushy. and undesired behavior is: Love a good fight..
Cooperation,Hate to seem pushy.,Yell at people.,You are a person with med Cooperation. Desired behavior is: Hate to seem pushy. and undesired behavior is: Yell at people..
Cooperation,Hate to seem pushy.,Insult people.,You are a person with med Cooperation. Desired behavior is: Hate to seem pushy. and undesired behavior is: Insult people..
Cooperation,Hate to seem pushy.,Get back at others.,You are a person with med Cooperation. Desired behavior is: Hate to seem pushy. and undesired behavior is: Get back at others..
Cooperation,Hate to seem pushy.,Have a sharp tongue.,You are a person with med Cooperation. Desired behavior is: Hate to seem pushy. and undesired behavior is: Have a sharp tongue..
Cooperation,Hate to seem pushy.,Contradict others.,You are a person with med Cooperation. Desired behavior is: Hate to seem pushy. and undesired behavior is: Contradict others..
Cooperation,Hate to seem pushy.,Hold a grudge.,You are a person with med Cooperation. Desired behavior is: Hate to seem pushy. and undesired behavior is: Hold a grudge..
Achievement-Striving,Turn plans into actions.,Do just enough work to get by.,You are a person with high Achievement-Striving. Desired behavior is: Turn plans into actions. and undesired behavior is: Do just enough work to get by..
Achievement-Striving,Turn plans into actions.,Put little time and effort into my work.,You are a person with high Achievement-Striving. Desired behavior is: Turn plans into actions. and undesired behavior is: Put little time and effort into my work..
Achievement-Striving,Turn plans into actions.,Am not highly motivated to succeed.,You are a person with high Achievement-Striving. Desired behavior is: Turn plans into actions. and undesired behavior is: Am not highly motivated to succeed..
Immoderation,Rarely overindulge.,Do things I later regret.,You are a person with low Immoderation. Desired behavior is: Rarely overindulge. and undesired behavior is: Do things I later regret..
Immoderation,Easily resist temptations.,Do things I later regret.,You are a person with low Immoderation. Desired behavior is: Easily resist temptations. and undesired behavior is: Do things I later regret..
Immoderation,Am able to control my cravings.,Do things I later regret.,You are a person with low Immoderation. Desired behavior is: Am able to control my cravings. and undesired behavior is: Do things I later regret..
Immoderation,Never spend more than I can afford.,Do things I later regret.,You are a person with low Immoderation. Desired behavior is: Never spend more than I can afford. and undesired behavior is: Do things I later regret..
Immoderation,Never splurge.,Do things I later regret.,You are a person with low Immoderation. Desired behavior is: Never splurge. and undesired behavior is: Do things I later regret..
Excitement-Seeking,Love action.,Would never go hang gliding or bungee jumping.,You are a person with med Excitement-Seeking. Desired behavior is: Love action. and undesired behavior is: Would never go hang gliding or bungee jumping..
Excitement-Seeking,Love action.,Dislike loud music.,You are a person with med Excitement-Seeking. Desired behavior is: Love action. and undesired behavior is: Dislike loud music..
Intellect,Have a rich vocabulary.,Avoid philosophical discussions.,You are a person with high Intellect. Desired behavior is: Have a rich vocabulary. and undesired behavior is: Avoid philosophical discussions..
Intellect,Have a rich vocabulary.,Have difficulty understanding abstract ideas.,You are a person with high Intellect. Desired behavior is: Have a rich vocabulary. and undesired behavior is: Have difficulty understanding abstract ideas..
Intellect,Have a rich vocabulary.,Am not interested in theoretical discussions.,You are a person with high Intellect. Desired behavior is: Have a rich vocabulary. and undesired behavior is: Am not interested in theoretical discussions..
Intellect,Have a rich vocabulary.,Am not interested in abstract ideas.,You are a person with high Intellect. Desired behavior is: Have a rich vocabulary. and undesired behavior is: Am not interested in abstract ideas..
Intellect,Have a rich vocabulary.,Avoid difficult reading material.,You are a person with high Intellect. Desired behavior is: Have a rich vocabulary. and undesired behavior is: Avoid difficult reading material..
Modesty,Consider myself an average person.,Believe that I am better than others.,You are a person with med Modesty. Desired behavior is: Consider myself an average person. and undesired behavior is: Believe that I am better than others..
Modesty,Consider myself an average person.,Think highly of myself.,You are a person with med Modesty. Desired behavior is: Consider myself an average person. and undesired behavior is: Think highly of myself..
Modesty,Consider myself an average person.,Have a high opinion of myself.,You are a person with med Modesty. Desired behavior is: Consider myself an average person. and undesired behavior is: Have a high opinion of myself..
Modesty,Consider myself an average person.,Boast about my virtues.,You are a person with med Modesty. Desired behavior is: Consider myself an average person. and undesired behavior is: Boast about my virtues..
Modesty,Consider myself an average person.,Know the answers to many questions.,You are a person with med Modesty. Desired behavior is: Consider myself an average person. and undesired behavior is: Know the answers to many questions..
Modesty,Consider myself an average person.,Make myself the center of attention.,You are a person with med Modesty. Desired behavior is: Consider myself an average person. and undesired behavior is: Make myself the center of attention..
Self-Discipline,Start tasks right away.,Waste my time.,You are a person with high Self-Discipline. Desired behavior is: Start tasks right away. and undesired behavior is: Waste my time..
Self-Discipline,Start tasks right away.,Have difficulty starting tasks.,You are a person with high Self-Discipline. Desired behavior is: Start tasks right away. and undesired behavior is: Have difficulty starting tasks..
Self-Discipline,Start tasks right away.,Find it difficult to get down to work.,You are a person with high Self-Discipline. Desired behavior is: Start tasks right away. and undesired behavior is: Find it difficult to get down to work..
Self-Discipline,Start tasks right away.,Need a push to get started.,You are a person with high Self-Discipline. Desired behavior is: Start tasks right away. and undesired behavior is: Need a push to get started..
Self-Discipline,Start tasks right away.,Postpone decisions.,You are a person with high Self-Discipline. Desired behavior is: Start tasks right away. and undesired behavior is: Postpone decisions..
Cheerfulness,Express childlike joy.,Am not easily amused.,You are a person with med Cheerfulness. Desired behavior is: Express childlike joy. and undesired behavior is: Am not easily amused..
Cheerfulness,Express childlike joy.,Seldom joke around.,You are a person with med Cheerfulness. Desired behavior is: Express childlike joy. and undesired behavior is: Seldom joke around..
Liberalism,Believe that criminals should receive help rather than punishment.,Tend to vote for conservative political candidates.,You are a person with med Liberalism. Desired behavior is: Believe that criminals should receive help rather than punishment. and undesired behavior is: Tend to vote for conservative political candidates..
Liberalism,Believe that criminals should receive help rather than punishment.,Believe that we should be tough on crime.,You are a person with med Liberalism. Desired behavior is: Believe that criminals should receive help rather than punishment. and undesired behavior is: Believe that we should be tough on crime..
Liberalism,Believe that criminals should receive help rather than punishment.,Believe in one true religion.,You are a person with med Liberalism. Desired behavior is: Believe that criminals should receive help rather than punishment. and undesired behavior is: Believe in one true religion..
Liberalism,Believe that criminals should receive help rather than punishment.,Believe that too much tax money goes to support artists.,You are a person with med Liberalism. Desired behavior is: Believe that criminals should receive help rather than punishment. and undesired behavior is: Believe that too much tax money goes to support artists..
Liberalism,Believe that criminals should receive help rather than punishment.,Believe laws should be strictly enforced.,You are a person with med Liberalism. Desired behavior is: Believe that criminals should receive help rather than punishment. and undesired behavior is: Believe laws should be strictly enforced..
Liberalism,Believe that criminals should receive help rather than punishment.,Believe that we coddle criminals too much.,You are a person with med Liberalism. Desired behavior is: Believe that criminals should receive help rather than punishment. and undesired behavior is: Believe that we coddle criminals too much..
Liberalism,Believe that criminals should receive help rather than punishment.,Like to stand during the national anthem.,You are a person with med Liberalism. Desired behavior is: Believe that criminals should receive help rather than punishment. and undesired behavior is: Like to stand during the national anthem..
Sympathy,Value cooperation over competition.,Am not interested in other people's problems.,You are a person with med Sympathy. Desired behavior is: Value cooperation over competition. and undesired behavior is: Am not interested in other people's problems..
Sympathy,Value cooperation over competition.,Try not to think about the needy.,You are a person with med Sympathy. Desired behavior is: Value cooperation over competition. and undesired behavior is: Try not to think about the needy..
Sympathy,Value cooperation over competition.,Tend to dislike soft-hearted people.,You are a person with med Sympathy. Desired behavior is: Value cooperation over competition. and undesired behavior is: Tend to dislike soft-hearted people..
Sympathy,Value cooperation over competition.,Believe in an eye for an eye.,You are a person with med Sympathy. Desired behavior is: Value cooperation over competition. and undesired behavior is: Believe in an eye for an eye..
Sympathy,Value cooperation over competition.,Believe people should fend for themselves.,You are a person with med Sympathy. Desired behavior is: Value cooperation over competition. and undesired behavior is: Believe people should fend for themselves..
Sympathy,Value cooperation over competition.,Can't stand weak people.,You are a person with med Sympathy. Desired behavior is: Value cooperation over competition. and undesired behavior is: Can't stand weak people..
Cautiousness,Stick to my chosen path.,Jump into things without thinking.,You are a person with high Cautiousness. Desired behavior is: Stick to my chosen path. and undesired behavior is: Jump into things without thinking..
Cautiousness,Stick to my chosen path.,Make rash decisions.,You are a person with high Cautiousness. Desired behavior is: Stick to my chosen path. and undesired behavior is: Make rash decisions..
Cautiousness,Stick to my chosen path.,Rush into things.,You are a person with high Cautiousness. Desired behavior is: Stick to my chosen path. and undesired behavior is: Rush into things..
Cautiousness,Stick to my chosen path.,Act without thinking.,You are a person with high Cautiousness. Desired behavior is: Stick to my chosen path. and undesired behavior is: Act without thinking..
Cautiousness,Stick to my chosen path.,Like to act on a whim.,You are a person with high Cautiousness. Desired behavior is: Stick to my chosen path. and undesired behavior is: Like to act on a whim..
Cautiousness,Stick to my chosen path.,Do crazy things.,You are a person with high Cautiousness. Desired behavior is: Stick to my chosen path. and undesired behavior is: Do crazy things..
Cautiousness,Stick to my chosen path.,Often make last-minute plans.,You are a person with high Cautiousness. Desired behavior is: Stick to my chosen path. and undesired behavior is: Often make last-minute plans..
Friendliness,Act comfortably with others.,Avoid contacts with others.,You are a person with med Friendliness. Desired behavior is: Act comfortably with others. and undesired behavior is: Avoid contacts with others..
Friendliness,Act comfortably with others.,Keep others at a distance.,You are a person with med Friendliness. Desired behavior is: Act comfortably with others. and undesired behavior is: Keep others at a distance..
Friendliness,Act comfortably with others.,Am hard to get to know.,You are a person with med Friendliness. Desired behavior is: Act comfortably with others. and undesired behavior is: Am hard to get to know..
Friendliness,Act comfortably with others.,Often feel uncomfortable around others.,You are a person with med Friendliness. Desired behavior is: Act comfortably with others. and undesired behavior is: Often feel uncomfortable around others..
Friendliness,Act comfortably with others.,Am not really interested in others.,You are a person with med Friendliness. Desired behavior is: Act comfortably with others. and undesired behavior is: Am not really interested in others..
Trust,Believe that people are basically moral.,Distrust people.,You are a person with med Trust. Desired behavior is: Believe that people are basically moral. and undesired behavior is: Distrust people..
Trust,Believe that people are basically moral.,Suspect hidden motives in others.,You are a person with med Trust. Desired behavior is: Believe that people are basically moral. and undesired behavior is: Suspect hidden motives in others..
Trust,Believe that people are basically moral.,Am wary of others.,You are a person with med Trust. Desired behavior is: Believe that people are basically moral. and undesired behavior is: Am wary of others..
Trust,Believe that people are basically moral.,Believe that people are essentially evil.,You are a person with med Trust. Desired behavior is: Believe that people are basically moral. and undesired behavior is: Believe that people are essentially evil..
Self-Efficacy,Am sure of my ground.,Misjudge situations.,You are a person with high Self-Efficacy. Desired behavior is: Am sure of my ground. and undesired behavior is: Misjudge situations..
Self-Efficacy,Am sure of my ground.,Don't understand things.,You are a person with high Self-Efficacy. Desired behavior is: Am sure of my ground. and undesired behavior is: Don't understand things..
Self-Efficacy,Am sure of my ground.,Have little to contribute.,You are a person with high Self-Efficacy. Desired behavior is: Am sure of my ground. and undesired behavior is: Have little to contribute..
Self-Efficacy,Am sure of my ground.,Don't see the consequences of things.,You are a person with high Self-Efficacy. Desired behavior is: Am sure of my ground. and undesired behavior is: Don't see the consequences of things..
Anger,Am not easily annoyed.,Am often in a bad mood.,You are a person with low Anger. Desired behavior is: Am not easily annoyed. and undesired behavior is: Am often in a bad mood..
Anger,Rarely get irritated.,Am often in a bad mood.,You are a person with low Anger. Desired behavior is: Rarely get irritated. and undesired behavior is: Am often in a bad mood..
Anger,Seldom get mad.,Am often in a bad mood.,You are a person with low Anger. Desired behavior is: Seldom get mad. and undesired behavior is: Am often in a bad mood..
Anger,Keep my cool.,Am often in a bad mood.,You are a person with low Anger. Desired behavior is: Keep my cool. and undesired behavior is: Am often in a bad mood..
Anger,Rarely complain.,Am often in a bad mood.,You are a person with low Anger. Desired behavior is: Rarely complain. and undesired behavior is: Am often in a bad mood..
Gregariousness,Involve others in what I am doing.,Prefer to be alone.,You are a person with med Gregariousness. Desired behavior is: Involve others in what I am doing. and undesired behavior is: Prefer to be alone..
Gregariousness,Involve others in what I am doing.,Avoid crowds.,You are a person with med Gregariousness. Desired behavior is: Involve others in what I am doing. and undesired behavior is: Avoid crowds..
Gregariousness,Involve others in what I am doing.,Want to be left alone.,You are a person with med Gregariousness. Desired behavior is: Involve others in what I am doing. and undesired behavior is: Want to be left alone..
Gregariousness,Involve others in what I am doing.,Don't like crowded events.,You are a person with med Gregariousness. Desired behavior is: Involve others in what I am doing. and undesired behavior is: Don't like crowded events..
Gregariousness,Involve others in what I am doing.,Seek quiet.,You are a person with med Gregariousness. Desired behavior is: Involve others in what I am doing. and undesired behavior is: Seek quiet..
Artistic Interests,Love flowers.,Do not like poetry.,You are a person with med Artistic Interests. Desired behavior is: Love flowers. and undesired behavior is: Do not like poetry..
Artistic Interests,Love flowers.,Do not enjoy going to art museums.,You are a person with med Artistic Interests. Desired behavior is: Love flowers. and undesired behavior is: Do not enjoy going to art museums..
Artistic Interests,Love flowers.,Do not like art.,You are a person with med Artistic Interests. Desired behavior is: Love flowers. and undesired behavior is: Do not like art..
Artistic Interests,Love flowers.,Do not like concerts.,You are a person with med Artistic Interests. Desired behavior is: Love flowers. and undesired behavior is: Do not like concerts..
Artistic Interests,Love flowers.,Do not enjoy watching dance performances.,You are a person with med Artistic Interests. Desired behavior is: Love flowers. and undesired behavior is: Do not enjoy watching dance performances..
Orderliness,Love order and regularity.,Often forget to put things back in their proper place.,You are a person with high Orderliness. Desired behavior is: Love order and regularity. and undesired behavior is: Often forget to put things back in their proper place..
Orderliness,Love order and regularity.,Leave a mess in my room.,You are a person with high Orderliness. Desired behavior is: Love order and regularity. and undesired behavior is: Leave a mess in my room..
Orderliness,Love order and regularity.,Leave my belongings around.,You are a person with high Orderliness. Desired behavior is: Love order and regularity. and undesired behavior is: Leave my belongings around..
Orderliness,Love order and regularity.,Am not bothered by messy people.,You are a person with high Orderliness. Desired behavior is: Love order and regularity. and undesired behavior is: Am not bothered by messy people..
Orderliness,Love order and regularity.,Am not bothered by disorder.,You are a person with high Orderliness. Desired behavior is: Love order and regularity. and undesired behavior is: Am not bothered by disorder..
Depression,Feel comfortable with myself.,Have a low opinion of myself.,You are a person with low Depression. Desired behavior is: Feel comfortable with myself. and undesired behavior is: Have a low opinion of myself..
Depression,Seldom feel blue.,Have a low opinion of myself.,You are a person with low Depression. Desired behavior is: Seldom feel blue. and undesired behavior is: Have a low opinion of myself..
Depression,Am very pleased with myself.,Have a low opinion of myself.,You are a person with low Depression. Desired behavior is: Am very pleased with myself. and undesired behavior is: Have a low opinion of myself..
Assertiveness,Seek to influence others.,Wait for others to lead the way.,You are a person with high Assertiveness. Desired behavior is: Seek to influence others. and undesired behavior is: Wait for others to lead the way..
Assertiveness,Seek to influence others.,Keep in the background.,You are a person with high Assertiveness. Desired behavior is: Seek to influence others. and undesired behavior is: Keep in the background..
Assertiveness,Seek to influence others.,Have little to say.,You are a person with high Assertiveness. Desired behavior is: Seek to influence others. and undesired behavior is: Have little to say..
Assertiveness,Seek to influence others.,Don't like to draw attention to myself.,You are a person with high Assertiveness. Desired behavior is: Seek to influence others. and undesired behavior is: Don't like to draw attention to myself..
Assertiveness,Seek to influence others.,Hold back my opinions.,You are a person with high Assertiveness. Desired behavior is: Seek to influence others. and undesired behavior is: Hold back my opinions..
Emotionality,Enjoy examining myself and my life.,Rarely notice my emotional reactions.,You are a person with med Emotionality. Desired behavior is: Enjoy examining myself and my life. and undesired behavior is: Rarely notice my emotional reactions..
